Year,Month,Hydroelectric Power,Solar Energy,Wind Energy,Geothermal Energy,Biomass Energy,Total Renewable Energy
1987.0,12.0,0.0,0.0,0.0,0.0,0.0,72.192
1988.0,1.0,0.0,0.0,0.0,0.0,0.0,77.077
1988.0,2.0,0.0,0.0,0.0,0.0,0.0,72.104
1988.0,3.0,0.0,0.0,0.0,0.0,0.0,77.077
1988.0,4.0,0.0,0.0,0.0,0.0,0.0,74.59
1988.0,5.0,0.0,0.0,0.0,0.0,0.0,77.077
1988.0,6.0,0.0,0.0,0.0,0.0,0.0,74.59
1988.0,7.0,0.0,0.0,0.0,0.0,0.0,77.077
1988.0,8.0,0.0,0.0,0.0,0.0,0.0,77.077
1988.0,9.0,0.0,0.0,0.0,0.0,0.0,74.59
1988.0,10.0,0.0,0.0,0.0,0.0,0.0,77.077
1988.0,11.0,0.0,0.0,0.0,0.0,0.0,74.59
1988.0,12.0,0.0,0.0,0.0,0.0,0.0,77.077
1989.0,1.0,0.0,2.794,0.0,0.425,0.0,81.356
1989.0,2.0,0.0,3.012,0.0,0.384,0.0,73.971
1989.0,3.0,0.0,4.15,0.0,0.425,0.0,82.712
1989.0,4.0,0.0,4.574,0.0,0.411,0.0,80.602
1989.0,5.0,0.0,5.05,0.0,0.425,0.0,83.611
1989.0,6.0,0.0,5.095,0.0,0.411,0.0,81.123
1989.0,7.0,0.0,5.349,0.0,0.425,0.0,83.91
1989.0,8.0,0.0,5.293,0.0,0.425,0.0,83.855
1989.0,9.0,0.0,4.828,0.0,0.411,0.0,80.855
1989.0,10.0,0.0,4.4,0.0,0.425,0.0,82.962
1989.0,11.0,0.0,3.609,0.0,0.411,0.0,79.637
1989.0,12.0,0.0,3.426,0.0,0.425,0.0,81.988
1990.0,1.0,0.0,2.96,0.0,0.467,0.0,52.688
1990.0,2.0,0.0,3.191,0.0,0.422,0.0,48.106
1990.0,3.0,0.0,4.397,0.0,0.467,0.0,54.124
1990.0,4.0,0.0,4.846,0.0,0.452,0.0,52.969
1990.0,5.0,0.0,5.349,0.0,0.467,0.0,55.077
1990.0,6.0,0.0,5.398,0.0,0.452,0.0,53.521
1990.0,7.0,0.0,5.666,0.0,0.467,0.0,55.394
1990.0,8.0,0.0,5.607,0.0,0.467,0.0,55.335
1990.0,9.0,0.0,5.114,0.0,0.452,0.0,53.238
1990.0,10.0,0.0,4.661,0.0,0.467,0.0,54.389
1990.0,11.0,0.0,3.823,0.0,0.452,0.0,51.947
1990.0,12.0,0.0,3.629,0.0,0.467,0.0,53.357
1991.0,1.0,0.0,3.053,0.0,0.501,0.0,55.362
1991.0,2.0,0.0,3.291,0.0,0.453,0.0,50.538
1991.0,3.0,0.0,4.534,0.0,0.501,0.0,56.844
1991.0,4.0,0.0,4.998,0.0,0.485,0.0,55.619
1991.0,5.0,0.0,5.517,0.0,0.501,0.0,57.826
1991.0,6.0,0.0,5.567,0.0,0.485,0.0,56.189
1991.0,7.0,0.0,5.844,0.0,0.501,0.0,58.153
1991.0,8.0,0.0,5.783,0.0,0.501,0.0,58.093
1991.0,9.0,0.0,5.275,0.0,0.485,0.0,55.897
1991.0,10.0,0.0,4.807,0.0,0.501,0.0,57.117
1991.0,11.0,0.0,3.943,0.0,0.485,0.0,54.565
1991.0,12.0,0.0,3.743,0.0,0.501,0.0,56.052
1992.0,1.0,0.0,3.162,0.0,0.542,0.0,57.912
1992.0,2.0,0.0,3.409,0.0,0.507,0.0,54.626
1992.0,3.0,0.0,4.697,0.0,0.542,0.0,59.446
1992.0,4.0,0.0,5.176,0.0,0.525,0.0,58.16
1992.0,5.0,0.0,5.715,0.0,0.542,0.0,60.464
1992.0,6.0,0.0,5.766,0.0,0.525,0.0,58.75
1992.0,7.0,0.0,6.053,0.0,0.542,0.0,60.803
1992.0,8.0,0.0,5.99,0.0,0.542,0.0,60.74
1992.0,9.0,0.0,5.463,0.0,0.525,0.0,58.447
1992.0,10.0,0.0,4.979,0.0,0.542,0.0,59.729
1992.0,11.0,0.0,4.085,0.0,0.525,0.0,57.068
1992.0,12.0,0.0,3.877,0.0,0.542,0.0,58.627
1993.0,1.0,0.0,3.251,0.0,0.578,0.0,50.541
1993.0,2.0,0.0,3.505,0.0,0.522,0.0,46.218
1993.0,3.0,0.0,4.829,0.0,0.578,0.0,52.119
1993.0,4.0,0.0,5.322,0.0,0.559,0.0,51.086
1993.0,5.0,0.0,5.875,0.0,0.578,0.0,53.165
1993.0,6.0,0.0,5.928,0.0,0.559,0.0,51.692
1993.0,7.0,0.0,6.223,0.0,0.578,0.0,53.513
1993.0,8.0,0.0,6.159,0.0,0.578,0.0,53.448
1993.0,9.0,0.0,5.617,0.0,0.559,0.0,51.381
1993.0,10.0,0.0,5.119,0.0,0.578,0.0,52.409
1993.0,11.0,0.0,4.199,0.0,0.559,0.0,49.964
1993.0,12.0,0.0,3.986,0.0,0.578,0.0,51.276
1994.0,1.0,0.0,3.34,0.0,0.527,0.0,48.031
1994.0,2.0,0.0,3.6,0.0,0.476,0.0,43.966
1994.0,3.0,0.0,4.96,0.0,0.527,0.0,49.651
